date,Fin del mundo,Calentamiento global,Terremoto,Tsunami,isPartial
2018-10-28,0,1,0,6,False
2018-11-04,1,1,0,5,False
2018-11-11,1,1,0,5,False
2018-11-18,1,1,0,5,False
2018-11-25,0,1,0,7,False
2018-12-02,0,1,0,6,False
2018-12-09,0,0,0,5,False
2018-12-16,0,0,0,6,False
2018-12-23,0,0,0,100,False
2018-12-30,1,0,0,11,False
2019-01-06,1,0,0,8,False
2019-01-13,1,0,0,6,False
2019-01-20,1,0,0,6,False
2019-01-27,1,1,0,5,False
2019-02-03,1,1,0,5,False
2019-02-10,1,1,0,5,False
2019-02-17,0,1,0,5,False
2019-02-24,0,1,0,6,False
2019-03-03,0,1,0,5,False
2019-03-10,0,1,0,5,False
2019-03-17,0,1,0,5,False
2019-03-24,0,1,0,5,False
2019-03-31,0,1,0,5,False
2019-04-07,0,1,0,5,False
2019-04-14,1,0,0,4,False
2019-04-21,0,1,0,5,False
2019-04-28,0,1,0,5,False
2019-05-05,0,1,0,5,False
2019-05-12,1,1,0,5,False
2019-05-19,1,1,0,4,False
2019-05-26,1,1,0,5,False
2019-06-02,1,1,0,4,False
2019-06-09,1,1,0,5,False
2019-06-16,1,1,0,6,False
2019-06-23,1,1,0,4,False
2019-06-30,1,0,0,6,False
2019-07-07,1,0,0,6,False
2019-07-14,1,0,0,5,False
2019-07-21,1,0,0,5,False
2019-07-28,1,0,0,9,False
2019-08-04,0,0,0,6,False
2019-08-11,0,0,0,5,False
2019-08-18,1,1,0,5,False
2019-08-25,1,1,0,5,False
2019-09-01,1,1,0,6,False
2019-09-08,0,1,0,5,False
2019-09-15,1,1,0,5,False
2019-09-22,0,1,0,6,False
2019-09-29,1,1,0,5,False
2019-10-06,0,1,0,5,False
2019-10-13,0,1,0,8,False
2019-10-20,0,1,0,5,False
2019-10-27,0,1,0,5,False
2019-11-03,0,1,0,5,False
2019-11-10,0,1,0,8,False
2019-11-17,0,1,0,5,False
2019-11-24,0,1,0,4,False
2019-12-01,0,1,0,4,False
2019-12-08,0,1,0,4,False
2019-12-15,0,0,0,5,False
2019-12-22,0,0,0,8,False
2019-12-29,1,0,0,5,False
2020-01-05,1,0,0,7,False
2020-01-12,1,1,0,7,False
2020-01-19,1,1,0,5,False
2020-01-26,1,1,0,11,False
2020-02-02,0,1,0,5,False
2020-02-09,0,1,0,6,False
2020-02-16,0,1,0,6,False
2020-02-23,1,1,0,5,False
2020-03-01,1,1,0,5,False
2020-03-08,1,1,0,4,False
2020-03-15,1,1,0,5,False
2020-03-22,1,1,0,8,False
2020-03-29,1,1,0,5,False
2020-04-05,1,0,0,5,False
2020-04-12,1,1,0,6,False
2020-04-19,1,1,0,9,False
2020-04-26,1,1,0,5,False
2020-05-03,1,1,0,5,False
2020-05-10,1,1,0,5,False
2020-05-17,1,1,0,5,False
2020-05-24,1,1,0,5,False
2020-05-31,1,1,0,5,False
2020-06-07,1,1,0,5,False
2020-06-14,2,1,0,4,False
2020-06-21,2,1,0,8,False
2020-06-28,1,0,3,4,False
2020-07-05,1,0,2,4,False
2020-07-12,1,0,3,4,False
2020-07-19,1,0,3,6,False
2020-07-26,1,0,2,4,False
2020-08-02,1,0,2,4,False
2020-08-09,1,0,2,4,False
2020-08-16,1,1,2,4,False
2020-08-23,1,1,4,4,False
2020-08-30,1,1,5,4,False
2020-09-06,1,1,3,4,False
2020-09-13,1,1,3,5,False
2020-09-20,1,1,2,8,False
2020-09-27,1,1,3,8,False
2020-10-04,1,1,2,5,False
2020-10-11,1,1,2,4,False
2020-10-18,1,1,3,7,False
2020-10-25,1,1,10,8,False
2020-11-01,0,1,4,7,False
2020-11-08,1,1,2,7,False
2020-11-15,1,1,2,6,False
2020-11-22,1,1,3,5,False
2020-11-29,1,1,4,5,False
2020-12-06,1,1,2,4,False
2020-12-13,1,1,8,4,False
2020-12-20,1,0,7,4,False
2020-12-27,1,0,18,5,False
2021-01-03,1,0,2,4,False
2021-01-10,1,1,3,4,False
2021-01-17,1,1,8,5,False
2021-01-24,1,1,10,6,False
2021-01-31,1,1,3,4,False
2021-02-07,1,1,4,6,False
2021-02-14,1,1,4,5,False
2021-02-21,1,1,3,6,False
2021-02-28,1,1,4,15,False
2021-03-07,1,1,2,7,False
2021-03-14,1,1,4,6,False
2021-03-21,1,1,5,5,False
2021-03-28,1,0,3,5,False
2021-04-04,1,0,3,5,False
2021-04-11,1,1,2,4,False
2021-04-18,1,1,2,5,False
2021-04-25,1,1,3,5,False
2021-05-02,1,1,2,4,False
2021-05-09,1,1,3,4,False
2021-05-16,1,1,3,4,False
2021-05-23,1,1,3,4,False
2021-05-30,1,1,2,5,False
2021-06-06,0,1,2,4,False
2021-06-13,1,1,2,4,False
2021-06-20,1,1,4,4,False
2021-06-27,1,0,2,4,False
2021-07-04,1,0,2,4,False
2021-07-11,0,0,2,4,False
2021-07-18,1,0,2,4,False
2021-07-25,0,0,4,9,False
2021-08-01,0,0,2,4,False
2021-08-08,1,2,7,6,False
2021-08-15,1,1,8,6,False
2021-08-22,1,1,3,5,False
2021-08-29,0,1,3,4,False
2021-09-05,0,1,9,4,False
2021-09-12,0,1,3,11,False
2021-09-19,0,1,4,12,False
2021-09-26,0,1,4,6,False
2021-10-03,0,1,3,5,False
2021-10-10,0,1,3,5,False
2021-10-17,0,3,3,4,False
2021-10-24,0,2,4,5,False
2021-10-31,0,1,2,6,False
2021-11-07,1,2,2,5,False
2021-11-14,0,1,3,4,False
2021-11-21,0,1,2,4,False
2021-11-28,0,1,5,5,False
2021-12-05,0,1,2,5,False
2021-12-12,0,1,8,6,False
2021-12-19,0,0,3,4,False
2021-12-26,1,0,2,5,False
2022-01-02,1,0,3,4,False
2022-01-09,1,0,2,33,False
2022-01-16,1,1,3,33,False
2022-01-23,1,1,2,6,False
2022-01-30,1,1,3,5,False
2022-02-06,1,1,8,5,False
2022-02-13,1,1,4,6,False
2022-02-20,1,1,4,5,False
2022-02-27,1,1,3,5,False
2022-03-06,1,1,2,5,False
2022-03-13,1,1,6,7,False
2022-03-20,1,1,2,5,False
2022-03-27,1,1,3,5,False
2022-04-03,1,1,2,5,False
2022-04-10,1,0,4,5,False
2022-04-17,1,1,8,4,False
2022-04-24,1,1,2,4,False
2022-05-01,1,1,6,5,False
2022-05-08,1,1,6,5,False
2022-05-15,1,1,3,4,False
2022-05-22,1,1,3,5,False
2022-05-29,1,1,3,4,False
2022-06-05,1,1,4,5,False
2022-06-12,1,1,2,4,False
2022-06-19,1,1,4,5,False
2022-06-26,1,1,2,4,False
2022-07-03,1,1,2,4,False
2022-07-10,1,0,4,4,False
2022-07-17,1,0,2,4,False
2022-07-24,1,0,3,5,False
2022-07-31,1,0,2,4,False
2022-08-07,1,1,3,4,False
2022-08-14,1,1,3,5,False
2022-08-21,1,1,3,4,False
2022-08-28,1,1,4,5,False
2022-09-04,0,1,3,4,False
2022-09-11,0,1,4,5,False
2022-09-18,1,1,19,9,False
2022-09-25,1,1,4,5,False
2022-10-02,1,1,5,5,False
2022-10-09,1,1,5,5,False
2022-10-16,1,1,3,5,False
2022-10-23,1,1,2,4,False
2022-10-30,0,1,5,5,False
2022-11-06,0,1,19,5,False
2022-11-13,1,1,5,5,False
2022-11-20,0,1,6,5,False
2022-11-27,0,1,3,5,False
2022-12-04,1,1,4,5,False
2022-12-11,1,0,3,4,False
2022-12-18,1,0,3,4,False
2022-12-25,1,0,3,6,False
2023-01-01,1,0,3,4,False
2023-01-08,1,1,3,6,False
2023-01-15,1,1,3,4,False
2023-01-22,1,1,7,4,False
2023-01-29,1,1,4,5,False
2023-02-05,1,1,71,13,False
2023-02-12,1,1,19,6,False
2023-02-19,1,1,12,7,False
2023-02-26,1,1,7,6,False
2023-03-05,1,1,15,5,False
2023-03-12,1,1,9,5,False
2023-03-19,1,1,9,5,False
2023-03-26,1,1,11,5,False
2023-04-02,1,0,4,5,False
2023-04-09,1,1,3,4,False
2023-04-16,1,1,7,4,False
2023-04-23,1,1,4,5,False
2023-04-30,1,1,3,4,False
2023-05-07,1,1,4,5,False
2023-05-14,1,1,4,6,False
2023-05-21,1,1,4,5,False
2023-05-28,1,1,4,5,False
2023-06-04,1,1,3,5,False
2023-06-11,1,1,7,5,False
2023-06-18,1,1,4,5,False
2023-06-25,1,1,4,5,False
2023-07-02,1,0,3,4,False
2023-07-09,1,0,3,4,False
2023-07-16,1,0,4,6,False
2023-07-23,1,0,3,4,False
2023-07-30,1,0,3,4,False
2023-08-06,1,0,3,4,False
2023-08-13,1,1,7,5,False
2023-08-20,1,1,4,4,False
2023-08-27,1,1,3,5,False
2023-09-03,1,1,22,5,False
2023-09-10,1,1,17,6,False
2023-09-17,1,1,12,5,False
2023-09-24,1,1,9,4,False
2023-10-01,1,1,12,5,False
2023-10-08,1,1,6,5,False
2023-10-15,1,1,5,5,True
